"","price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
"37",76.5,77.779999,76.099998,77.760002,16053100,21.197292,2018-02-23,"AABA",0.0296610379434847,0.0296610843350535
"38",78.43,78.68,76.720001,78.080002,18350200,21.284525,2018-02-26,"AABA",0.00411528982098264,0.00411522623160421
"39",77.860001,78,75.769997,76.129997,12425700,20.752954,2018-02-27,"AABA",-0.0249745296171749,-0.0249744486430724
"40",75.910004,76.080002,74.510002,74.849998,8566500,20.40403,2018-02-28,"AABA",-0.0168132209033952,-0.0168133331201892
"41",75.040001,75.389999,72.910004,73.739998,9733100,20.101444,2018-03-01,"AABA",-0.0148297174626776,-0.0148296597148874
"42",72.349998,72.989998,71.440002,72.690002,7649400,19.815216,2018-03-02,"AABA",-0.014239176051233,-0.0142391650186917
"43",72.199997,73.57,71.769997,73.440002,6524400,20.019665,2018-03-05,"AABA",0.0103177780146329,0.0103177875823968
"44",74.419998,75.5,74.360001,75.169998,9082700,20.491261,2018-03-06,"AABA",0.0235566379357497,0.0235565897724239
"45",74.029999,76.050003,74.019997,75.980003,4973700,20.712067,2018-03-07,"AABA",0.0107756179573331,0.0107756421651095
"46",76.010002,76.269997,75.290001,75.730003,3608700,20.643917,2018-03-08,"AABA",-0.00329035243078357,-0.00329033943312684
"47",76.290001,76.879997,75.760002,76.620003,6687500,20.88653,2018-03-09,"AABA",0.011752275500817,0.0117522773635701
"48",77,77.760002,76.540001,77.559998,9766600,21.142773,2018-03-12,"AABA",0.0122683375362014,0.0122682715112918
"49",77.980003,78.050003,75.68,75.970001,3937600,20.709341,2018-03-13,"AABA",-0.0205002437475916,-0.0205002197137756
"50",76.269997,77.669998,76.269997,77.199997,4945600,21.044636,2018-03-14,"AABA",0.01619052001703,0.0161905486877643
"51",79.010002,80.150002,78.529999,79.419998,9009600,21.649805,2018-03-15,"AABA",0.0287564489117322,0.0287564907547861
"52",79.050003,80.050003,78.800003,79.900002,6279000,21.780655,2018-03-16,"AABA",0.00604393434490502,0.00604386819551417
"53",79.279999,79.480003,77.309998,77.839996,6146300,21.219099,2018-03-19,"AABA",-0.0257823284010513,-0.025782302233234
"54",77.879997,79.190002,77.730003,79.07,4371600,21.554398,2018-03-20,"AABA",0.0158017548247453,0.015801696598237
"55",78.970001,79.089996,77.889999,78.07,6453700,21.281797,2018-03-21,"AABA",-0.0126471173075675,-0.012647021626407
"56",76.519997,77.169998,74.349998,74.57,7164200,20.327702,2018-03-22,"AABA",-0.0448315055349885,-0.0448315614192392
"57",74.980003,75.75,72.669998,73,5051400,19.899721,2018-03-23,"AABA",-0.0210540768454791,-0.0210540431809038
"58",74.559998,75.989998,73.690002,75.809998,6004900,20.665724,2018-03-26,"AABA",0.0384931527431969,0.0384931232876711
"59",76.620003,76.620003,72.449997,73.029999,7937100,19.9079,2018-03-27,"AABA",-0.0366705758772351,-0.0366706117048042
"60",72.739998,73.519997,71.769997,72.639999,8076300,19.801586,2018-03-28,"AABA",-0.00534029204486663,-0.00534027119458125
"61",73.099998,74.589996,72.330002,74.040001,5098000,20.183224,2018-03-29,"AABA",0.0192731026696549,0.0192731555516679
"62",73.580002,73.760002,70.980003,71.599998,10384500,19.518082,2018-04-02,"AABA",-0.0329551909050804,-0.0329551994468504
"63",72.150002,72.419998,70.089996,70.529999,4862000,19.226402,2018-04-03,"AABA",-0.0149440913302854,-0.0149441205291653
"64",68.190002,69.559998,67.949997,69.519997,7860200,18.951077,2018-04-04,"AABA",-0.0143201520492497,-0.014320176014748
"65",70.5,70.959999,69.120003,69.379997,5621000,18.912912,2018-04-05,"AABA",-0.00201386971305129,-0.00201380906273629
"66",68.480003,69.480003,67.379997,67.550003,8322700,18.414059,2018-04-06,"AABA",-0.0263763189930771,-0.0263763920312652
"67",68.220001,69.330002,68.110001,68.440002,6316800,18.656672,2018-04-09,"AABA",0.0131754221054683,0.0131754102216695
"68",70.18,71.080002,69.82,70.779999,9330400,19.294552,2018-04-10,"AABA",0.034190449400622,0.0341904870195648
"69",70.309998,71.449997,70.18,70.550003,4020900,19.231855,2018-04-11,"AABA",-0.00324946648152291,-0.00324944904280089
"70",70.75,71.389999,70.230003,70.540001,3960700,19.229128,2018-04-12,"AABA",-0.000141795994198168,-0.000141771787026013
"71",71.309998,71.309998,69.07,69.290001,4890400,18.88838,2018-04-13,"AABA",-0.0177204083305285,-0.0177204420510286
